2025-07-20 13:40:33.601 | INFO     | __main__:main:160 | 启动服务: host=0.0.0.0, port=8000, debug=False
2025-07-20 13:40:33.630 | INFO     | agent_memory_system.utils.logger:info:176 | API服务启动
2025-07-20 13:40:33.630 | INFO     | agent_memory_system.utils.logger:info:176 | API服务启动
2025-07-20 13:40:35.892 | INFO     | agent_memory_system.utils.logger:info:176 | WebSocket客户端连接: fb859cb3-7638-4d32-99d1-1de441bd88b8
2025-07-20 13:40:49.229 | INFO     | agent_memory_system.utils.logger:info:176 | 收到WebSocket消息: {'type': 'message', 'content': 'hi', 'timestamp': '2025-07-20T13:40:40.474Z'}
2025-07-20 13:40:49.229 | INFO     | agent_memory_system.utils.logger:info:176 | 处理后的消息格式: {'type': 'message', 'data': {'content': 'hi'}, 'timestamp': '2025-07-20T13:40:40.474Z'}
2025-07-20 13:40:49.230 | INFO     | agent_memory_system.utils.logger:info:176 | 解析后的消息: type=message, data={'content': 'hi'}
2025-07-20 13:40:49.230 | INFO     | agent_memory_system.utils.logger:info:176 | 开始处理消息类型: message
2025-07-20 13:40:49.231 | INFO     | agent_memory_system.utils.logger:info:176 | process_websocket_message: 开始处理消息类型 message
2025-07-20 13:40:49.231 | INFO     | agent_memory_system.utils.logger:info:176 | 处理聊天消息，内容: hi
2025-07-20 13:40:52.519 | INFO     | agent_memory_system.utils.logger:info:176 | LLM生成回复: Hello! How can I help you today?
2025-07-20 13:40:52.918 | INFO     | agent_memory_system.utils.logger:info:176 | 记忆存储成功: 96776e08-f936-476c-8167-e9e35de574f5
2025-07-20 13:40:52.919 | INFO     | agent_memory_system.utils.logger:info:176 | 存储对话记忆: 45c5d884-6219-467e-8f44-2c9c19d7aa20
2025-07-20 13:40:52.921 | INFO     | agent_memory_system.utils.logger:info:176 | 处理完成，准备发送响应: {'type': 'message', 'data': {'content': 'Hello! How can I help you today?'}, 'timestamp': '2025-07-20T13:40:52.919637', 'success': True, 'error': None}
2025-07-20 13:40:52.922 | INFO     | agent_memory_system.utils.logger:info:176 | 响应已发送
2025-07-20 13:41:06.597 | INFO     | agent_memory_system.utils.logger:info:176 | 收到WebSocket消息: {'type': 'message', 'content': '我是青松', 'timestamp': '2025-07-20T13:40:58.699Z'}
2025-07-20 13:41:06.598 | INFO     | agent_memory_system.utils.logger:info:176 | 处理后的消息格式: {'type': 'message', 'data': {'content': '我是青松'}, 'timestamp': '2025-07-20T13:40:58.699Z'}
2025-07-20 13:41:06.599 | INFO     | agent_memory_system.utils.logger:info:176 | 解析后的消息: type=message, data={'content': '我是青松'}
