2025-07-20 09:52:04.725 | INFO     | __main__:main:160 | 启动服务: host=0.0.0.0, port=8000, debug=False
2025-07-20 09:52:04.780 | INFO     | agent_memory_system.utils.logger:info:176 | API服务启动
2025-07-20 09:52:04.781 | INFO     | agent_memory_system.utils.logger:info:176 | API服务启动
2025-07-20 09:52:06.109 | INFO     | agent_memory_system.utils.logger:info:176 | WebSocket客户端连接: 87525971-5664-4b20-99e2-c467c505c4ac
2025-07-20 09:52:09.570 | INFO     | agent_memory_system.utils.logger:info:176 | WebSocket客户端断开: 87525971-5664-4b20-99e2-c467c505c4ac
2025-07-20 09:52:11.328 | INFO     | agent_memory_system.utils.logger:info:176 | WebSocket客户端连接: 47973eff-3556-4220-9610-4d2f3f9ad491
2025-07-20 09:52:43.304 | INFO     | agent_memory_system.utils.logger:info:176 | 收到WebSocket消息: {'type': 'settings', 'data': {'settings': {'provider': 'ollama', 'importanceThreshold': '5', 'retentionDays': '7', 'ollamaBaseUrl': 'http://localhost:11434', 'ollamaModel': 'deepseek-r1:1.5b'}}}
2025-07-20 09:52:43.304 | INFO     | agent_memory_system.utils.logger:info:176 | 解析后的消息: type=settings, data={'settings': {'provider': 'ollama', 'importanceThreshold': '5', 'retentionDays': '7', 'ollamaBaseUrl': 'http://localhost:11434', 'ollamaModel': 'deepseek-r1:1.5b'}}
2025-07-20 09:52:43.305 | INFO     | agent_memory_system.utils.logger:info:176 | 开始处理消息类型: settings
2025-07-20 09:52:43.305 | INFO     | agent_memory_system.utils.logger:info:176 | process_websocket_message: 开始处理消息类型 settings
2025-07-20 09:52:43.305 | INFO     | agent_memory_system.utils.logger:info:176 | 处理设置更新: {'provider': 'ollama', 'importanceThreshold': '5', 'retentionDays': '7', 'ollamaBaseUrl': 'http://localhost:11434', 'ollamaModel': 'deepseek-r1:1.5b'}
2025-07-20 09:52:43.306 | ERROR    | agent_memory_system.utils.logger:error:182 | 更新设置失败: 1 validation error for WebSocketResponse
type
